"","x"
"256",18256.3007809222
"257",37456.521904096
"258",50620.8677310497
"259",91350.26789736
"260",7664.51810486615
"261",10974.5523892343
"262",75426.7222480848
"263",30459.8775692284
"264",72380.965645425
"265",23233.0028899014
"266",39345.8866979927
"267",50787.9396900535
"268",93991.6865434498
"269",5787.51706052572
"270",30476.5704553574
"271",24092.4044046551
"272",38520.3435085714
"273",76298.3355671167
"274",86464.6998699754
"275",67911.1215053126
"276",67676.2705435976
"277",16505.2519412711
"278",80286.7429330945
"279",71199.3431439623
"280",92870.3089011833
"281",749.460491351783
"282",59633.1653418019
"283",36674.5680803433
"284",74196.7155365273
"285",76208.7390525267
"286",26072.2959181294
"287",25493.5881355777
"288",67884.0809967369
"289",48548.0662435293
"290",37858.4530204535
"291",5554.79826871306
"292",89902.5898426771
"293",80172.3313750699
"294",48101.3050070032
"295",3212.87591941655
"296",51200.681226328
"297",37310.1272154599
"298",49857.1684816852
"299",39926.5736807138
"300",2094.69445981085
"301",52428.9028486237
"302",16039.88497518
"303",20511.4235170186
"304",97522.6715672761
"305",96635.4875126854
"306",76007.0322314277
"307",7637.05321587622
"308",51582.3876019567
"309",60030.5194500834
"310",43702.4090904742
"311",164.226116612554
"312",43555.1518108696
"313",50096.3768921793
"314",66960.4706112295
"315",69485.7106776908
"316",78251.0314369574
"317",13902.2845542058
"318",16324.5677249506
"319",75954.2910149321
"320",44370.3617434949
"321",62966.8830428272
"322",10451.2860300019
"323",83554.8897273839
"324",33394.9361927807
"325",19951.9188608974
"326",69454.5476464555
"327",16587.8762723878
"328",7396.39038220048
"329",3823.61884694546
"330",84602.0216587931
"331",37354.8197327182
"332",88071.0697267205
"333",9031.7772468552
"334",49590.7411212102
"335",75432.2736058384
"336",60589.0813050792
"337",52841.279655695
"338",91020.668274723
"339",98572.890390642
"340",27974.2561979219
"341",12349.1694685072
"342",17437.904397957
"343",88133.5254758596
"344",12462.8272140399
"345",29896.8904651701
"346",16473.4639925882
"347",7260.95444988459
"348",23841.3982093334
"349",71666.6605323553
"350",64502.0991796628
"351",7587.49665692449
"352",17270.8922065794
"353",14567.0357858762
"354",39190.1184339076
"355",23174.5099416003
"356",56137.9822902381
"357",58352.0186599344
"358",9875.9338259697
"359",15891.654137522
"360",92206.5404010937
"361",85944.9719078839
"362",90719.8753440753
"363",11526.8956404179
"364",3553.92340570688
"365",58575.4387546331
"366",31416.8264856562
"367",55688.9274157584
"368",35449.5415464044
"369",14326.8311629072
"370",56713.5462770239
"371",33409.8657825962
"372",12040.1190593839
"373",25585.4324204847
"374",35338.5316440836
"375",83131.9929333404
"376",78322.3916543648
"377",94015.2207389474
"378",83919.9031703174
"379",14898.5019186512
"380",59067.6085092127
"381",82396.2600668892
"382",63188.5365350172
"383",46992.9961487651
"384",25874.0903576836
"385",2458.03508441895
"386",32880.8127669618
"387",22485.3484425694
"388",87733.1839408726
"389",67765.420069918
"390",52593.330363743
"391",55768.6663931236
"392",24747.1673414111
"393",729.677081108093
"394",94890.6435165554
"395",71915.0138553232
"396",27932.4544593692
"397",74378.2856035978
"398",87074.8400921002
"399",38037.0125174522
"400",71944.7515904903
"401",23960.6710383669
"402",64776.4874156564
"403",97567.0760730281
"404",37799.8807933182
"405",46414.4128607586
"406",81229.6295771375
"407",49440.8113183454
"408",5030.90226557106
"409",13062.1740594506
"410",16143.8316106796
"411",8945.31598314643
"412",40361.4088194445
"413",6385.98678633571
"414",56200.5922431126
"415",33652.4107959121
"416",54064.2281062901
"417",91323.1221958995
"418",38688.075914979
"419",96026.7164045945
"420",38468.6591336504
"421",94160.1979313418
"422",68063.5657161474
"423",90264.2353670672
"424",25379.7065699473
"425",40609.7129452974
"426",1424.86135009676
"427",11044.779419899
"428",50153.7791918963
"429",37152.6648057625
"430",80591.5554286912
"431",792.284356430173
"432",83651.2059206143
"433",37683.917931281
"434",38524.8533217236
"435",95153.0575519428
"436",47567.4239452928
"437",55209.3794336542
"438",93471.6325020418
"439",86343.625606969
"440",25991.4484340698
"441",68769.9834583327
"442",44790.7246183604
"443",21801.627590321
"444",68623.681506142
"445",95938.2025292143
"446",25940.4480922967
"447",46875.9991927072
"448",32133.9557645842
"449",16464.2814546824
"450",71472.7725367993
"451",52816.575136967
"452",23471.4680118486
"453",6443.16615071148
"454",67576.349619776
"455",80614.5361857489
"456",11547.1235243604
"457",69201.4421336353
"458",2178.62285207957
"459",36137.6708606258
"460",73228.0049938709
"461",31262.3041914776
"462",44715.3053246439
"463",82543.9068023115
"464",33179.5465201139
"465",14402.5167217478
"466",30092.075210996
"467",16260.1796910167
"468",83947.1578365192
"469",66430.7477185503
"470",13886.7305591702
"471",32588.1813885644
"472",83143.0218880996
"473",82253.9104381576
"474",14939.9920366704
"475",42127.9689529911
"476",44518.2651514187
"477",88392.7375776693
"478",41499.7326675802
"479",68989.2161870375
"480",71692.087710835
"481",1237.91699297726
"482",3782.94484689832
"483",9087.74142153561
"484",39882.3967436329
"485",90021.4575929567
"486",44490.2628427371
"487",75515.309209004
"488",71147.0239562914
"489",16675.6350314245
"490",86914.2389157787
"491",8918.45354344696
"492",16301.366337575
"493",84935.3688303381
"494",62813.0341181532
"495",20845.9950983524
"496",67286.0826831311
"497",96420.5690892413
"498",88173.885201104
"499",96176.4686973765
"500",46469.3185640499
